3,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,2021-04-24,1153,8100 ARLINGTON BLVD,FALLS CHURCH,VA,22042
1,ANML-90Z-6,ANIMAL - ANIMAL BITE - DOMESTIC,2021-04-24,1000,13300 SPRINGHAVEN DR,FAIRFAX,VA,22033
2,SERV-999,POLICE PHONE REPORT,2021-04-24,1000,13300 SPRINGHAVEN DR,FAIRFAX,VA,22033
1,SUSP-1,SUSPICIOUS - EVENT,2021-04-24,1253,8200 GREENSBORO DR,MCLEAN,VA,22102
2,SERV-999,POLICE PHONE REPORT,2021-04-24,1100,14900 CRANOKE ST,CENTREVILLE,VA,20120
1,ANML-720,ANIMAL - CRUELTY TO ANIMAL,2021-04-24,1259,7900 CHARLES THOMSON LN,ANNANDALE,VA,22003
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2021-04-24,1304,3900 PENDERVIEW DR,FAIRFAX,VA,22033
1,SERV-1,SERVICE - POLICE SERVICE,2021-04-24,1229,8400 GREAT LAKE LN,SPRINGFIELD,VA,22153
1,LARC-23-9,LARCENY -  ALL OTHER LARCENY,2021-04-24,1100,8800 GEORGETOWN PIKE,MCLEAN,VA,22102
1,SUSP-1,SUSPICIOUS - EVENT,2021-04-24,1027,14300 WATERY MOUNTAIN CT,CENTREVILLE,VA,20120
2,SERV-999,POLICE PHONE REPORT,2021-04-24,1027,14300 WATERY MOUNTAIN CT,CENTREVILLE,VA,20120
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,2021-04-24,1340,8900 GARDEN GATE DR,FAIRFAX,VA,22031
1,SERV-5,SERVICE - ANIMAL DESTROYED BY CHEMICAL,2021-04-24,1321,2100 GREENKEEPERS CT,RESTON,VA,20191
1,ANML-90Z-1,ANIMAL - RUNNING AT LARGE/UNRESTRICTED,2021-04-24,1412, DIXIE HILL RD / LEE HWY,FAIRFAX,VA,22030
2,ANML-90Z-3,ANIMAL - LICENSE VIOLATION,2021-04-24,1412, DIXIE HILL RD / LEE HWY,FAIRFAX,VA,22030
1,LARC-23-3,LARCENY - SHOPLIFTING,2021-04-24,1338,6400 SPRINGFIELD PLZ,SPRINGFIELD,VA,22150
1,LARC-23-3,LARCENY - SHOPLIFTING,2021-04-24,1406,4300 CHANTILLY SHOPPING CTR,CHANTILLY,VA,20151
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2021-04-24,1428,9500 OLD KEENE MILL RD,BURKE,VA,22015
1,LARC-23-9,LARCENY -  ALL OTHER LARCENY,2021-04-24,1310,7900 RICHMOND HWY,ALEXANDRIA,VA,22306
1,WARR-90Z-1,ORDER - VIOLATE EPO/PO/PPO,2021-04-24,1206,8800 WALUTES CIR,ALEXANDRIA,VA,22309
1,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,2021-04-24,0900,9700 HAGEL CIR,LORTON,VA,22079
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,2021-04-24,1528,1900 CHAIN BRIDGE RD,MCLEAN,VA,22102
1,SUSP-4,SUSPICIOUS - NOISE,2021-04-24,1516,2200 ASTORIA CIR,HERNDON,VA,20170
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2021-04-24,1517,9400 WALLINGFORD DR,BURKE,VA,22015
1,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,2021-04-24,1300,11600 FAIRFAX MEADOWS CIR,FAIRFAX,VA,22030
2,TRES-90J-7,TRESPASSING - UNLAWFUL ENTRY,2021-04-24,1300,11600 FAIRFAX MEADOWS CIR,FAIRFAX,VA,22030
1,SUSP-1,SUSPICIOUS - EVENT,2021-04-24,1530, COLLINGWOOD RD / RIVERSIDE RD,ALEXANDRIA,VA,22308
2,SERV-999,POLICE PHONE REPORT,2021-04-24,1530, COLLINGWOOD RD / RIVERSIDE RD,ALEXANDRIA,VA,22308
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2021-04-24,1546,6700 COLUMBIA PIKE,ANNANDALE,VA,22003
1,LARC-23-9,LARCENY -  ALL OTHER LARCENY,2021-04-24,1614,6500 SYDENSTRICKER RD,BURKE,VA,22015
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2021-04-24,1523,7000 KINGS MANOR DR,ALEXANDRIA,VA,22315
2,SERV-1,SERVICE - POLICE SERVICE,2021-04-24,1523,7000 KINGS MANOR DR,ALEXANDRIA,VA,22315
1,LARC-23-4,LARCENY - THEFT FROM BUILDING,2021-04-24,1555,4500 MARKET COMMONS DR,FAIRFAX,VA,22033
1,LARC-23-6,LARCENY - THEFT FROM MOTOR VEHICLE,2021-04-24,0700,8300 OLD KEENE MILL RD,SPRINGFIELD,VA,22152
1,SERV-2,SERVICE - CIVIL DISPUTE,2021-04-24,1529,2100 GOLF COURSE DR,RESTON,VA,20191
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,2021-04-24,1620, CROSSROADS CTR / LEESBURG PIKE,FALLS CHURCH,VA,22041
1,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY,2021-04-24,1616,1500 DRANESVILLE RD,HERNDON,VA,20170
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2021-04-24,1550,5800 TRINITY PKWY,CENTREVILLE,VA,20120
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,2021-04-24,1645, HIRST DR / LAFAYETTE VILLAGE DR,ANNANDALE,VA,22003
1,SERV-5,SERVICE - ANIMAL DESTROYED BY CHEMICAL,2021-04-24,1634,14300 COMPTON RD,CENTREVILLE,VA,20121
1,TELE-90Z-1,TELEPHONE - RECORD/INTERCPT/OTHER VIOLATION,2021-04-24,1644,4500 BOGART CT,ANNANDALE,VA,22003
1,LARC-23-9,LARCENY -  ALL OTHER LARCENY,2021-04-24,1714,2200 GUNSMITH SQ,RESTON,VA,20191
3,SERV-999,POLICE PHONE REPORT,2021-04-24,1714,2200 GUNSMITH SQ,RESTON,VA,20191
2,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,2021-04-24,1714,2200 GUNSMITH SQ,RESTON,VA,20191
1,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,2021-04-24,1658,7100 FALCON ST,ANNANDALE,VA,22003
2,SERV-999,POLICE PHONE REPORT,2021-04-24,1658,7100 FALCON ST,ANNANDALE,VA,22003
1,LARC-23-4,LARCENY - THEFT FROM BUILDING,2021-04-24,1730,13000 FAIR LAKES SHOPPING CTR,FAIRFAX,VA,22033
